exp,smiles,mol_id
3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,CHEMBL596271
-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,CHEMBL1951080
3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,CHEMBL1771
3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,CHEMBL234951
3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,CHEMBL565079
3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,CHEMBL317462
-0.72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,CHEMBL1951182
0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,CHEMBL2030960
3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,CHEMBL13097
2.25,Oc1ncnc2scc(c3ccsc3)c12,CHEMBL1527751
1.51,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,CHEMBL1940306
2.61,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,CHEMBL578201
-0.08,O=C1CCCCCN1,CHEMBL276218
1.95,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,CHEMBL2153181
1.34,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,CHEMBL1916276
3.2,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,CHEMBL93884
1.6,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,CHEMBL2171986
3.77,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,CHEMBL190044
3.15,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,CHEMBL469790
0.32,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,CHEMBL2165055
2.92,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,CHEMBL322479
1.92,Clc1ccc(cc1)C(=O)Nc2oc(nn2)C(=O)Nc3ccc(cc3)N4CCOCC4,CHEMBL2036736
3.17,COc1ccc(Oc2cccc(CN3CCCC(C3)N4C=C(C)C(=O)NC4=O)c2)cc1,CHEMBL2179291
2.17,OC(=O)c1cccc(c1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,CHEMBL2158823
1.2,CNCC[C@@H](Oc1ccccc1C)c2ccccc2,CHEMBL641
3.93,Clc1ccc(N2CCN(CC2)C(=O)CCCc3ccncc3)c(Cl)c1,CHEMBL1289785
1.9,COc1cnc(nc1N(C)C)c2ccccn2,CHEMBL1381135
2.27,C(CCCCNc1cc(nc2ccccc12)c3ccccc3)CCCNc4cc(nc5ccccc45)c6ccccc6,CHEMBL528217
1.2,CSc1c(cnn1c2ccc(cc2)C(=O)O)C(=O)NC3C4CC5CC(CC3C5)C4,CHEMBL2177621
1.14,CNC1=Nc2ncccc2C(=NC1c3cccs3)c4occn4,CHEMBL475386
